# 한국 (KOSPI .KS / KOSDAQ .KQ) 시드
# pykrx 는 2026년부터 KRX 로그인(KRX_ID/KRX_PW)을 요구하므로 쓰지 않는다.
# 시총·주가는 yfinance .KS/.KQ 로 받는다. 원본 검증은 DART OpenAPI(sources/dart.py) 사용.
005930.KS   # 삼성전자
000660.KS   # SK하이닉스
373220.KS   # LG에너지솔루션
207940.KS   # 삼성바이오로직스
005380.KS   # 현대차
000270.KS   # 기아
068270.KS   # 셀트리온
105560.KS   # KB금융
005490.KS   # POSCO홀딩스
055550.KS   # 신한지주
035420.KS   # NAVER
012330.KS   # 현대모비스
006400.KS   # 삼성SDI
051910.KS   # LG화학
028260.KS   # 삼성물산
086790.KS   # 하나금융지주
035720.KS   # 카카오
003670.KS   # 포스코퓨처엠
316140.KS   # 우리금융지주
015760.KS   # 한국전력
033780.KS   # KT&G
034730.KS   # SK
009150.KS   # 삼성전기
011200.KS   # HMM
018260.KS   # 삼성에스디에스
032830.KS   # 삼성생명
010130.KS   # 고려아연
090430.KS   # 아모레퍼시픽
000810.KS   # 삼성화재
024110.KS   # 기업은행
267250.KS   # HD현대
010140.KS   # 삼성중공업
009540.KS   # HD한국조선해양
042660.KS   # 한화오션
012450.KS   # 한화에어로스페이스
047810.KS   # 한국항공우주
064350.KS   # 현대로템
259960.KS   # 크래프톤
251270.KS   # 넷마블
036570.KS   # 엔씨소프트
097950.KS   # CJ제일제당
271560.KS   # 오리온
004370.KS   # 농심
280360.KS   # 롯데웰푸드
000080.KS   # 하이트진로
021240.KS   # 코웨이
161390.KS   # 한국타이어앤테크놀로지
011070.KS   # LG이노텍
066570.KS   # LG전자
034220.KS   # LG디스플레이
001450.KS   # 현대해상
138040.KS   # 메리츠금융지주
030200.KS   # KT
017670.KS   # SK텔레콤
032640.KS   # LG유플러스
003550.KS   # LG
000100.KS   # 유한양행
128940.KS   # 한미약품
069620.KS   # 대웅제약
302440.KS   # SK바이오사이언스
326030.KS   # SK바이오팜
000720.KS   # 현대건설
006800.KS   # 미래에셋증권
016360.KS   # 삼성증권
039490.KS   # 키움증권
071050.KS   # 한국금융지주
029780.KS   # 삼성카드
086280.KS   # 현대글로비스
004020.KS   # 현대제철
010950.KS   # S-Oil
096770.KS   # SK이노베이션
011170.KS   # 롯데케미칼
298000.KS   # 효성첨단소재
298040.KS   # 효성중공업
000880.KS   # 한화
009830.KS   # 한화솔루션
103140.KS   # 풍산
001040.KS   # CJ
139480.KS   # 이마트
004990.KS   # 롯데지주
023530.KS   # 롯데쇼핑
069960.KS   # 현대백화점
008770.KS   # 호텔신라
282330.KS   # BGF리테일
007070.KS   # GS리테일
078930.KS   # GS
036460.KS   # 한국가스공사
052690.KS   # 한전기술
267260.KS   # HD현대일렉트릭
042670.KS   # HD현대인프라코어
241560.KS   # 두산밥캣
000150.KS   # 두산
034020.KS   # 두산에너빌리티
329180.KS   # HD현대중공업
375500.KS   # DL이앤씨
375280.KS   # 애경케미칼
018880.KS   # 한온시스템
204320.KS   # HL만도
005070.KS   # 코스모신소재
000990.KS   # DB하이텍
042700.KS   # 한미반도체
108320.KS   # LX세미콘
357780.KQ   # 솔브레인
240810.KQ   # 원익IPS
058470.KQ   # 리노공업
247540.KQ   # 에코프로비엠
086520.KQ   # 에코프로
091990.KQ   # 셀트리온헬스케어
196170.KQ   # 알테오젠
145020.KQ   # 휴젤
293490.KQ   # 카카오게임즈
112040.KQ   # 위메이드
095660.KQ   # 네오위즈
041510.KQ   # 에스엠
122870.KQ   # 와이지엔터테인먼트
035900.KQ   # JYP Ent.
352820.KS   # 하이브
214370.KQ   # 케어젠
328130.KQ   # 루닛
